ID, Title, Author, Year, Format, File
1, Emma, Jane Austen, 2010, PDF, ebook/Emma.pdf
2, Jujur Itu Keren, Wylvera Windayana, 2019, PDF, ebook/Jujur Itu Keren.pdf
3, Inikah Rasanya?, Lia Herliana, 2023, PDF, ebook/Inikah Rasanya.pdf
4, Tarik! Dorong!, Puspa Im, 2023, PDF, ebook/Tarik Dorong.pdf
5, Bukan Kalah atau Menang, Efitri Widyatuti, 2023, PDF, ebook/Bukan Kalah atau Menang.pdf
6, Suara Apa Itu?, Agustina Dwi rahayu, 2023, PDF, ebook/Suara Apa Itu.pdf
7, Lawa dan Tutu, Utami Panca Dewi, 2023, PDF, ebook/Lawa dan Tutu.pdf
8, Rencana Mia, Waty Sumiati Halim, 2023, PDF, ebook/Rencana Mia.pdf
9, Aku Sudah Besar, Futri Wijayanti, 2023, PDF, ebook/Aku Sudah Besar.pdf
10, Princess In The Forest, Witaru Emi, 2024, PDF, ebook/Princess In The Forest.pdf
11, Kimu's Cake, Lia Herliana, 2024, PDF, ebook/Kimu's Cake.pdf
